"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.1476843569867","39.7791441837119","1.6312582610658","9.8722030338445","27.9421579326358","20.8085693442274","21.0954471662552","23.2656792922768","22.6863518699904","20.7688804703858","21.92233140183","22.9043552862001","25.4182967616869","28.3479499830947","29.1225577000264","35.765438994108","42.2254576837845","44.3516229755633","47.9428358213473","41.1450508029059","38.8147549853077","31.9217989798477","24.6809527475996","22.1524900726313","21.2830406859193","20.7305301265762","18.0155086734171","18.4217402148728","22.3997393267701","17.4085294108567","19.663832943599","22.9638762261581","21.6343098762556","",
"American Samoa","ASM","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","31.5716607476073","33.139865710709","28.4236563975714","30.8236272878536","30.690320455508","33.535980683827","32.6142236075794","32.9200544497995","32.986408298812","33.6335602845541","32.9738517816014","32.0965025265035","30.4262913327497","28.3881975110397","30.5689009641828","26.8065398919374","26.4265489273888","26.9648555658347","25.8171676597689","27.8507128361024","27.0867381808457","28.6771945024219","29.8344677777967","25.3019872025004","26.6306636840972","28.0027176797809","28.4784967052176","27.3546985713438","27.9688328013507","29.610209761727","28.9425369722878","24.2203018869742","22.3462037323606","23.6024411272767","24.2716095419954","25.9939578014141","24.7885981976259","24.8558828020443","25.6440499626638","26.1458941440029","26.2504640290701","23.3930636328424","24.4074263067027","25.9369848139976","27.0636473789158","27.4568260355592","27.5048144980167","27.5019903160907","28.6033151100897","27.3643396718515","26.779828899685","26.4591502772704","27.7109268602101","27.8666879140392","26.7170304339265","26.2580990230395","25.395072504304","24.0999375915807","24.5339187044057","23.2610374545779","22.2652648042576","22.7573733748033","23.5735063245188","",
"Austria","AUT","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","31.0381407645063","31.0314113920621","31.9983491798236","32.2441882872288","32.5240828436223","27.1586096253436","28.5117816064197","29.7012413390438","26.5277481287762","29.3445598643599","28.7808306197432","26.9264765453552","24.5801305917089","23.0424239173355","23.7749906456253","24.4492583596845","23.7337610702524","24.0575648371822","25.6041958172063","26.4705304602787","26.6893086358303","26.8975445999291","26.20273657657","25.2461949158399","26.082121289325","26.763232286056","26.3376729639958","26.2136574642218","26.1056608005608","26.117551394752","25.92697094208","25.1607662946999","23.6426568399916","24.4087464611563","24.0610268875048","23.825245637086","23.6103275858496","24.5843049022429","24.4674607405705","22.7753209387926","22.6078471185073","24.1404744727559","23.9771068871648","23.7233900013028","23.5315427854214","23.8055256927841","24.2563259569593","24.8384192986677","25.7264354319804","25.3494126447174","25.6273109455718","27.6600106672215","27.5489736943292","",
"Azerbaijan","AZE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.5347885402456","3.1062874251497","-0.692931681915313","21.7974522292994","15.3130504403523","23.7791733058393","29.0016833784674","34.2367729474717","33.3662733244202","26.4946623930492","20.6735762277188","20.6768756114079","34.5764948453608","53.1714825439026","57.9904339874798","41.5348372928728","29.8593848353266","21.5250083743234","18.6936308461975","18.9486398045026","18.0595784763923","20.2678468568795","22.3167232028526","25.6579354439517","27.5100357372221","27.9135711658698","25.6813382496045","24.3789256985575","20.1294761024821","20.3077798481492","23.6659543305763","17.0785981597198","12.6458425804292","",
"Burundi","BDI","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","6.25000031887757","6.89655199592323","7.37704897301033","6.01503764567164","5.36912735204978","5.76659311825392","6.7675665220635","6.85148387923851","8.18964441671865","8.28877005347594","4.53079461935769","7.60767864326492","3.18169610194764","5.3118238069234","4.0522996009489","7.58007643419691","9.08841750354228","11.1964113948967","14.036886178699","14.9162154755363","13.8857679938726","17.006175599845","14.4573966443689","22.8267996582487","18.3708354841712","13.8611293239475","11.6442299983236","22.6123716059626","15.0351399015556","16.4628867904245","14.5369768617378","14.4097631879489","10.6382980656783","11.5401492793869","6.97412715204663","6.363436388009","8.20980615735462","6.09684947491249","6.77161419290355","5.88493631971893","2.78113770989619","4.46825856260011","3.94866019879363","7.86879003706402","10.3470971301176","18.2","18.5129857241011","15.1864583013854","13.4089586890331","18.9748730212835","17.1603824318375","16.3457475597031","16.3381446870308","14.6326385171192","14.2030571572419","12.1634582505496","9.23740996969432","8.80601560454674","11.1034585930148","14.1287","11.4459869188334","13.11262","13.3868808151359","",
"Belgium","BEL","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","29.6566888191858","28.5570889394491","26.5595358095269","27.5935750442645","30.2930162049949","26.6322365651753","26.9755800760862","26.6342768857943","26.4213414637772","25.9575738619264","26.5551106570398","22.5730012588296","21.5987922902751","18.7590888145527","19.8182689993281","18.9772622333502","18.5655923999919","19.6346877735902","21.8609744955767","23.5258653626574","24.3463734360231","22.8402761359904","22.5925252624135","21.9318894363435","22.0127684782659","21.7907720637316","21.6307467878374","22.3003415862901","22.3486590795955","22.6890118180362","23.7829613022103","22.6338254993949","20.7474019774138","20.9647077064668","22.6670601715452","23.6810632000764","23.9705491132595","24.6032741505197","25.9367703303917","22.1732845983869","23.1267766903187","24.5069391580875","23.6899258289059","22.4281969049074","23.1361877185621","23.6279503740568","24.2522122937008","24.4564151316897","25.4159758009333","25.0089726625222","24.225015122159","25.7314990108865","27.1378841006035","",
"Benin","BEN","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","11.4249717830018","10.9628408414962","11.109211341735","11.6168291782208","9.73416583214586","8.77749971102941","8.7782951178963","11.8251630532691","12.3746562986148","12.6631880774218","11.5923801456269","10.285643631099","13.3636368845738","13.0759687590775","18.2311159102171","19.3020911602236","16.6521857765632","17.7509342196848","16.0640103788601","19.0221796978577","15.1565679481707","15.6767522384168","27.6044169260841","17.3215150751257","12.7803178241589","8.93997374769409","13.4644446396163","12.9269405057397","15.6332306177376","11.8171441375108","14.060356419347","14.4780446923295","13.6211087439991","16.0581365080412","17.8022147065571","21.4197671425652","17.5511679710447","18.5448564263514","18.1551570848512","18.227093726169","16.0084024487125","17.7527202451424","14.8337225342659","15.1637900420403","15.218605125346","12.0860448919113","12.8734651191902","16.3768679983693","13.7404206600646","14.8657187295579","15.608089212583","16.4625572802737","15.276312739626","18.86187234768","19.2575856279899","20.731792085746","20.2720396046954","23.9604222292501","26.3865130249513","25.6298005790604","25.6338435081567","28.8506183177663","36.5257943461198","",
"Burkina Faso","BFA","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","8.51993883472013","8.65423244076445","8.7078006986699","8.80123695624159","9.63910843996261","8.71195309693156","7.97208404775534","8.02271556863936","8.27018498705671","9.61030709849981","10.270033771264","14.8739002346814","17.2774944490496","20.631068926715","25.5231718077638","23.1042219989016","22.8445038626324","19.5624544512027","18.3189338028038","16.4000938527472","15.1069505593291","14.1309296513323","17.9266349310782","17.1322658540656","14.1666284842185","22.9532781499561","20.1365915917835","19.2226564070552","18.7889112659956","20.4100171651494","18.9133966293571","21.2456099038687","19.3024334654199","19.459397383889","27.1661616484543","23.9253428809499","24.944707127053","27.3917783789695","24.1745628345865","17.2965015904257","14.5706990626075","13.5458978685006","13.4516848777294","15.4592813585183","15.5181038099984","17.5635935306702","16.1250056320714","18.2510847811436","20.7319624459801","19.9900322638267","21.9904340000138","22.1235118043343","24.6529928973207","23.7099150061433","19.2622491931648","19.4066997164243","20.7955479484027","22.0781221635299","21.7391048190018","19.7578680070114","16.7549215527371","15.1803373949313","17.5021502376712","",
