Report generated on: 04-08-2024 05:36:21
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","refined petroleum products consumption (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-2-ARM-TBPD.A","        Armenia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","43.4","24.7","17.93169","24.51617","28.47393","29.77413","32.17413","4.431780821917808","7.5777595628415355","7.444575342465767","7.082219178082193","7.3749863013698675","7.6748087431694","8.97408219178082","8.414602739726021","9.086575342465759","9.671639344262294","8.489397260273975","9.033068493150688","8.519095890410952","8.722082191780817","7.809315068493151","7.779917808219179","8.222465","6.843248","8.202986301369863","8.063643835593151","10.946739726027397","13.429363041983997","14.544057627035519","14.06982432739726"
"INTL.54-2-ABW-TBPD.A","        Aruba","","","","","","","","--","--","--","--","--","--","0.68","0.68","2.51912","3.4","3.54298","3.97386","4.37171","4.5","5.01917","5.61917","3.71912","6.01917","6.01917","6.019178082191781","6.997852459016395","7.2569315068493205","7.505375342465758","8.32563287671232","8.64056830601093","9.353326027397253","9.337304109589041","9.627364383561643","9.050728142076505","8.93342794520547","8.051014520547948","6.358597260273968","7.898724043715844","7.601567123287669","7.69860356164383","7.910535","7.790639","8.0926027398","7.7928082192","8.124323287671233","6.841744258750028","7.481310136986302","7.873079290410957"
"INTL.54-2-AUS-TBPD.A","        Australia","","","","","","","","594.4","584","616","594","635.057376","638.630137","644.183562","661.057535","694.338798","722.884931","737.958904","720.6","729.661203","761.013698","788.043836","810.923288","831.366119","847.764384","852.457534","874.857535","872.428962","871.528766","892.421918","925.624658","941.174863","960.520549","970.216439","987.723286","995.237706","1004.616438","1047.873972","1095.50411","1124.357923","1137.789041","1117.580821","1103.583561","1094.980876","1144.350683","1164.70137","1147.975343","990.469945","1018.476711","1076.50411"
"INTL.54-2-AUT-TBPD.A","        Austria","","","","","","","","232.07","225","209","207","202.06011","198.213699","206.016439","209.126027","204.508197","204.827397","216.830138","233.668493","228.909837","235.038355","233.164383","233.158904","253.778689","253.70685","265.580824","252.106849","250.448089","267.033408","273.380821","288.50137","294.980875","297.48493","301.112328","292.019177","283.969945","271.550687","278.460274","263.391781","258.734973","263.304111","256.597261","258.432877","262.382513","263.356164","268.643836","277.276444","238.948088","253.619222","244.15572"
"INTL.54-2-AZE-TBPD.A","        Azerbaijan","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","203","194","186","177.6","132.7","129.2","147.3","150","127.40268415300548","85.16927232876715","82.7480241095891","93.64419506849316","106.77201857923501","109.77387068493154","101.67831780821908","90.80059397260274","92.27110710382519","78.78336547945197","82.62718904109599","92.36111123287674","96.91322958904114","100.1594597260274","99.62932712328777","98.1253928136986","96.304164","102.44353424657534","100.26139726027397","107.5163287671233","98.03971505862324","108.92889654866826","105.3717012"
"INTL.54-2-BHR-TBPD.A","        Bahrain","","","","","","","","16","16","16","15.000000001","16","16","16.11743","18.9","18.9","19.5","20.4","21.1","21.3","20.5","20.7","21.1","20","19.6","22.2","24.5","31.663306010928963","32.35953424657534","35.16517808219181","41.38808219178079","46.55573770491801","56.26178082191775","61.37131506849311","60.63101369863023","62.58806010928956","58.27504109589041","56.27693150684921","55.98621917808216","57.96355191256834","61","58","64","61.426568","60.96594520547946","62.60693150684932","73.21219178082191","71.05756655737704","67.45506734669269","71.62887067851268"
"INTL.54-2-BGD-TBPD.A","        Bangladesh","","","","","","","","31.999999999","33.000000001","33.999999999","30.000000001","31.000000001","31.999999999","34.4","33.4","35.7","38.1","36","38.3","37.6","40.5","45.7","51.2","52.6","56.6","57.8","66.6","68.33431038251362","81.68286246575342","81.4799978082193","85.10109808219184","76.38864918032779","78.32198136986302","78.69343232876709","75.87974465753427","75.30799016393436","69.48387616438359","80.9742410958904","103.65355616438347","107.39035737704914","104.3410969863014","111.21543671232877","112","112","122.9197808219178","138.6718904109589","122.45915068493201","116.05678889617491","152.67894135986327","160.06262562472432"
"INTL.54-2-BRB-TBPD.A","        Barbados","","","","","","","","6.7","7","7.100000001","7.5","7.2","8","8.4","7.9778","7.17925","7.87","8.268","8.38471","8.58448","8.36353","7.98471","8.24931","8.052","9.2","9.44235","9.742356164383562","10.66644784699453","10.798558498630134","10.94910817534247","11.059451315068495","11.095117125683059","11.277248372602743","11.292675934246574","10.878951232876718","12.802740983606563","12.06724273972603","11.652834246575337","12.173486027397262","11.3394155737705","11.487674246575343","10.052257295890408","10.629836","10.774034","10.1871323753","10.8035547654","10.803554765400003","9.097727573853394","8.294309397260273","8.72865241643838"
"INTL.54-2-BLR-TBPD.A","        Belarus","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","375","288.9","240.6","228","205.3","185.9","170.8","157.86353424657534","159.5071650273224","154.8721797260274","159.56980712328766","163.698898630137","161.91914426229513","151.44364602739728","173.9336668493151","162.85384328767128","166.57258251366116","184.69610191780828","151.91933917808217","175.84887890410957","178.51852459016388","160.8490049315068","168.26945863013688","139.042356","137.065178","124.8633698630137","138.186301369863","134.6048219178082","134.40052511590915","135.292978869711","130.874925"
"INTL.54-2-BEL-TBPD.A","        Belgium","","","","","","","","522.2","481","445","407","385.196721","405.120547","453.978081","457.39178","469.846994","462.375344","466.471233","498.498631","506.620218","499.057536","551.698631","550.334247","591.172131","606.473973","616.939726","597.991781","612.24317","620.378081","620.767124","650.769863","660.904371","659.775343","646.931507","650.041096","694.655738","623.060273","654.432877","612.564384","597.177596","616.227397","608.178082","624.772603","633.516394","639","685.115069","643.909589","561.969946","623.378082","607.706848"
