"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.4314720812183","73.6032388663968","73.4500364697301","72.2911774572291","73.8002594033723","70.8067440390281","74.3983635464898","77.4721644787425","78.4501607014015","74.6484208825893","75.7392415688645","77.3351917738222","78.103133375534","75.9485039734613","82.0772692172231","86.7451710964109","87.5191877279866","86.9155560416583","84.9688020379897","83.2196037289458","78.5889180263081","78.0238833547693","78.1557337364564","78.3062801289823","76.4358852871112","90.8134794638628","80.9213049141744","73.6575444647945","",
"Africa Eastern and Southern","AFE","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","86.776852059286","87.0445260682851","85.365849890938","93.4911172613011","95.2777674845685","98.8962500787003","101.587304006047","102.257630297756","99.8381881916297","98.4227106051409","96.6963193019079","99.7572720464235","96.7966654382729","94.4871828578239","92.0618589624828","91.8309912789792","88.0000023130435","90.7449203549233","89.1582441287852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.41256679301","109.740707113011","","",
"Africa Western and Central","AFW","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6384273766316","64.8074405165019","55.9255549100896","47.9818468001013","44.388661401761","46.5179217930882","45.6105975401277","62.1106724512631","52.8400988307572","52.2182581334132","53.2522587004446","59.1747907010866","62.4424046620397","69.1768293578966","69.906483946859","70.118317292374","66.8360091965964","58.5357694742794","62.8225469500411","52.5365847552205","55.6519295297584","",
"Albania","ALB","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","67.415421055405","65.6948213760848","68.983982495845","68.9347115568077","72.7110265086007","71.9642648474598","72.0339759968198","74.2900716492545","76.6257409403719","73.6377585893151","81.8680223533638","117.099908107101","186.912123638379","138.491641087268","115.806121399801","105.416463107946","103.591026411731","108.371868624066","105.46070656467","97.5927311911342","92.4272394797276","88.8355006398095","91.3698201784129","91.4288559885974","88.4152572472806","87.9767161632654","88.1503663769644","92.2443533486341","93.4726902420337","91.9288404246391","89.2666973206039","89.2735994414988","88.8116964820969","91.0548674755732","92.2392229655882","91.8053952187363","92.2303767999408","91.1064283839218","90.3942824577642","91.3471773375797","92.4954518919607","88.560547555145","85.9531989642428","",
"Andorra","AND","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.0435236102179","71.5191819489214","68.3241041952254","69.5084916142461","64.2153817245223","62.9445816042946","66.8307750446845","65.6796842279188","62.521750023432","50.4603806295627","46.9890112947057","40.7807631017032","43.7874896449129","45.9520087523793","46.2725441078484","47.1108182614658","49.8835074765253","49.5536327727861","51.4472541656143","54.6208026798801","","","",
"Argentina","ARG","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","79.0364791888187","70.1006928300889","79.2461395242787","82.0133738769648","75.9007508054255","75.4970316256486","77.7942255677275","76.2864326203048","77.228763077663","76.0094029790157","74.694222005323","76.4876920807954","75.748565291364","77.2030183884084","77.1261069354123","70.7137838666004","66.0167676839929","66.7688129390393","69.3068526178788","73.9620337036417","76.1639431937343","77.7597922462956","75.6755519963391","75.796876427071","77.2024983563445","76.9481621112158","80.7003134984625","80.1476922549427","78.0401937656444","78.0064379577354","80.2748020106189","83.7659849814264","84.832196249988","82.716341043641","83.1088093536358","81.910244378841","81.0254053145373","81.3883852297522","81.54813118993","83.8654765221869","83.1162031113242","83.0682586224061","74.133671156184","74.6358632064367","75.4461369173024","75.1712533824236","75.6996034278587","75.5205568037984","76.7080967360791","78.882044434113","79.3978326526411","79.9092777965726","81.5488369177742","82.793803323967","82.332955462195","84.0042171039133","83.376469651473","84.4364672435558","85.275279447009","82.5708278909383","82.5777141918946","78.7285741810563","80.917308036653","",
"Armenia","ARM","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9250645994832","75.7937005897854","112.688997066314","110.586216133567","105.830589061408","117.450447827395","111.654102542135","114.735652131581","111.15006136611","108.275136010629","112.964756569207","108.753808222086","102.869512812633","96.9965519187696","96.1198313117346","89.1341265601753","85.2750394568942","84.755100160246","84.6880871612562","96.8311215981661","98.300593777353","99.9153984641812","96.78979331931","98.7235707172707","97.6330390280979","91.0274446603294","89.7578164754025","92.3485450148713","91.2875796372273","96.0040219938442","90.2950007656219","84.8931326164284","79.3448871075949","",
"American Samoa","ASM","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","68.7293083729609","69.2784795720951","70.9860580166404","69.9927204658902","68.6838266434521","68.8268011900142","70.4987285702568","68.7428718590192","70.3310623437982","68.1067383140476","67.2456306733505","68.3369662142079","68.9900554470559","69.0305098354075","67.9500347900997","72.6657778401516","73.6586360800499","74.1504942673305","75.6639189780883","74.0094820254145","73.1249814281045","73.8162748263957","73.8082646695895","77.7157730238844","75.1279915389871","74.1582623834901","75.3115572303128","75.7163361305801","73.3818690460052","71.8082954314032","72.3273082197704","75.3190905347912","77.9051718638886","77.1019379993292","75.9859926148333","75.9687483613864","75.6641693558602","74.8699846406726","75.2335211458828","76.2944128966062","75.9042907975868","76.5209880661915","75.5883433847228","76.1500321251936","75.620914049363","75.2550673083781","74.3474541934903","74.139021857206","73.9458762034504","72.3545532450586","74.139917708093","72.5064867962593","72.4552454206011","73.4352123165382","73.5613351295091","75.2198668950529","76.8751175452218","75.3850508531993","75.1058807456433","74.2643491781203","73.9430353149605","72.9912523379519","70.7090755654951","",
